Order_ID,Date,City,Product_Name,Category,Quantity,Unit_Price,Total_Sales,Delivery_Time,Customer_Rating,Payment_Mode,Delivery_Type,Seller_Name
1001,2024-04-28,Delhi,Wheat Flour 1kg,Dairy,5,50.0,250.0,43,4.0,Cash,Standard,FreshFarm
1002,2024-06-09,Delhi,Sugar 1kg,Grocery,3,60.0,180.0,58,4.5,UPI,Standard,BakeHouse
1003,2024-01-12,Pune,Cake 500g,Vegetables,4,70.0,280.0,90,4.5,Card,Express,FreshFarm
1004,2024-06-18,Bengaluru,Onion 1kg,Vegetables,2,55.0,110.0,43,4.7,UPI,Express,GroceryHub
1005,2024-05-15,Jaipur,Banana 1dozen,Grocery,3,100.0,300.0,36,4.0,UPI,Express,FarmFresh
1006,2024-05-03,Mumbai,Rice 1kg,Grocery,4,40.0,160.0,34,4.5,Cash,Standard,GreenCart
1007,2024-05-27,Delhi,Namkeen 500g,Snacks,2,85.0,170.0,41,3.5,UPI,Express,SnackBox
1008,2024-03-27,Delhi,Milk 1L,Bakery,3,55.0,165.0,38,4.2,Cash,Express,FreshFarm
1009,2024-01-27,Delhi,Namkeen 500g,Fruits,5,40.0,200.0,55,4.9,Cash,Standard,FarmFresh
1010,2024-05-19,Bengaluru,Onion 1kg,Dairy,5,50.0,250.0,75,4.5,UPI,Standard,BakeHouse
1012,2024-05-28,Jaipur,Chips 200g,Vegetables,4,80.0,320.0,77,4.9,Cash,Express,FreshFarm
1013,2024-04-12,Mumbai,Paneer 200g,Dairy,3,30.0,90.0,75,4.7,Cash,Express,FreshFarm
1015,2024-04-01,Jaipur,Apple 1kg,Vegetables,4,50.0,200.0,29,4.5,Cash,Standard,SnackBox
1016,2024-04-24,Bengaluru,Tomato 1kg,Snacks,4,40.0,160.0,80,3.5,Cash,Standard,FarmFresh
1018,2024-02-26,Bengaluru,Chicken 1kg,Dairy,5,45.0,225.0,66,4.9,Cash,Express,GreenCart
1019,2024-06-24,Jaipur,Onion 1kg,Vegetables,2,70.0,140.0,58,4.8,Cash,Standard,BakeHouse
1020,2024-05-04,Delhi,Cookies 300g,Dairy,2,70.0,140.0,29,4.9,UPI,Standard,FreshFarm
1021,2024-02-17,Bengaluru,Banana 1dozen,Fruits,2,55.0,110.0,46,4.5,UPI,Express,SnackBox
1022,2024-03-12,Pune,Orange 1kg,Grocery,2,50.0,100.0,35,4.5,Card,Standard,FarmFresh
1023,2024-03-27,Pune,Apple 1kg,Snacks,2,85.0,170.0,44,4.5,Cash,Express,FarmFresh
1024,2024-04-19,Bengaluru,Orange 1kg,Grocery,5,50.0,250.0,77,4.7,Cash,Express,GreenCart
1025,2024-04-03,Mumbai,Onion 1kg,Poultry,4,85.0,340.0,90,4.2,Cash,Express,FarmFresh
